Region,Date,Estimated Unemployment Rate (%),Estimated Labour Participation Rate (%),Area,Estimated Employed Rate (%),Year,Month_num,Month
Andhra Pradesh,2019-05-31,3.65,43.24,Rural,39.59,2019.0,5.0,May
Andhra Pradesh,2019-06-30,3.05,42.05,Rural,39.0,2019.0,6.0,June
Andhra Pradesh,2019-07-31,3.75,43.5,Rural,39.75,2019.0,7.0,July
Andhra Pradesh,2019-08-31,3.32,43.97,Rural,40.65,2019.0,8.0,August
Andhra Pradesh,2019-09-30,5.17,44.68,Rural,39.51,2019.0,9.0,September
Andhra Pradesh,2019-10-31,3.52,43.01,Rural,39.489999999999995,2019.0,10.0,October
Andhra Pradesh,2019-11-30,4.12,41.0,Rural,36.88,2019.0,11.0,November
Andhra Pradesh,2019-12-31,4.38,45.14,Rural,40.76,2019.0,12.0,December
Andhra Pradesh,2020-01-31,4.84,43.46,Rural,38.620000000000005,2020.0,1.0,January
Andhra Pradesh,2020-02-29,5.91,42.83,Rural,36.92,2020.0,2.0,February
Andhra Pradesh,2020-03-31,4.06,40.66,Rural,36.599999999999994,2020.0,3.0,March
Andhra Pradesh,2020-04-30,16.29,36.03,Rural,19.740000000000002,2020.0,4.0,April
Andhra Pradesh,2020-05-31,14.46,38.16,Rural,23.699999999999996,2020.0,5.0,May
Andhra Pradesh,2020-06-30,0.85,53.76,Rural,52.91,2020.0,6.0,June
Assam,2019-05-31,4.29,57.39,Rural,53.1,2019.0,5.0,May
Assam,2019-06-30,5.08,43.87,Rural,38.79,2019.0,6.0,June
Assam,2019-07-31,4.26,48.21,Rural,43.95,2019.0,7.0,July
Assam,2019-08-31,5.79,45.83,Rural,40.04,2019.0,8.0,August
Assam,2019-09-30,4.46,55.67,Rural,51.21,2019.0,9.0,September
Assam,2019-10-31,4.65,40.76,Rural,36.11,2019.0,10.0,October
Assam,2019-11-30,4.66,46.64,Rural,41.980000000000004,2019.0,11.0,November
Assam,2020-01-31,4.29,54.9,Rural,50.61,2020.0,1.0,January
Assam,2020-02-29,3.26,40.17,Rural,36.910000000000004,2020.0,2.0,February
Assam,2020-03-31,3.77,47.05,Rural,43.279999999999994,2020.0,3.0,March
Assam,2020-05-31,9.38,50.0,Rural,40.62,2020.0,5.0,May
Assam,2020-06-30,0.0,34.38,Rural,34.38,2020.0,6.0,June
Bihar,2019-05-31,9.27,39.75,Rural,30.48,2019.0,5.0,May
Bihar,2019-06-30,10.2,39.71,Rural,29.51,2019.0,6.0,June
Bihar,2019-07-31,13.44,39.66,Rural,26.22,2019.0,7.0,July
Bihar,2019-08-31,11.0,36.85,Rural,25.85,2019.0,8.0,August
Bihar,2019-09-30,8.87,38.57,Rural,29.700000000000003,2019.0,9.0,September
Bihar,2019-10-31,12.47,40.31,Rural,27.840000000000003,2019.0,10.0,October
Bihar,2019-11-30,12.4,37.51,Rural,25.11,2019.0,11.0,November
Bihar,2019-12-31,10.16,37.25,Rural,27.09,2019.0,12.0,December
